timestamp,roll_deg,pitch_deg,yaw_deg,omega_raw,omega_filtered,alpha,tau_ff,tau_pid,tau_total,pwm_left,pwm_right,deadzone_factor,accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z
471.3311,-0.4556,1.1964,-10.5663,7.4360,1.3075,9.7074,-66.9900,9.1175,-0.0000,1500,1500,0.0000,-0.1048,-0.3798,9.8713,7.5681,0.6801,2.4294,0.0076,-0.2853,9.6847,7.3040,-0.1937,2.5621
471.3503,-0.3000,1.1586,-10.5168,9.3330,3.4278,28.3512,-96.8075,6.0025,-1.6620,1499,1500,0.0552,0.0125,-0.1834,9.6654,8.9268,0.3748,2.4905,-0.0954,-0.1895,9.7613,9.7391,0.7300,2.7453
471.3699,-0.1195,1.1402,-10.4691,10.0047,5.4828,37.8200,-102.2302,2.3919,-27.4674,1486,1513,0.9211,-0.0904,-0.1260,9.9144,10.2245,0.2145,2.3989,-0.0619,-0.0818,9.7469,9.7849,0.4781,2.5239
471.3884,0.0471,1.0683,-10.4259,9.8024,6.2913,33.3906,-75.6205,-0.9426,-20.7024,1489,1510,1.0000,0.1466,-0.0925,9.6582,9.6902,0.0694,2.2233,0.0746,-0.0818,9.5674,9.9147,0.1956,2.5163
471.4069,0.2087,1.0430,-10.3807,9.3292,6.7470,24.7208,-39.3208,-4.1754,-8.9221,1495,1504,1.0000,0.0173,-0.0470,9.8761,9.4306,0.6114,2.5058,-0.0284,0.0260,9.5195,9.2277,1.4094,2.4094
471.4253,0.3832,1.0537,-10.3377,9.8215,7.2082,25.0155,-23.2872,-7.6688,-2.6860,1498,1501,1.0000,-0.0521,-0.0015,9.5169,10.0261,1.3595,2.3455,-0.0068,0.0739,9.5985,9.6170,2.9437,2.3025
471.4438,0.5768,1.0179,-10.2947,9.2299,7.5114,16.4220,19.0747,-11.5415,11.1116,1505,1494,1.0000,-0.0282,0.1637,9.5840,9.2932,-0.1443,2.3455,-0.0475,0.2032,9.4429,9.1666,-0.1632,2.2644
471.4621,0.7599,1.0060,-10.2565,8.5887,7.6730,8.7878,62.1294,-15.2051,24.9988,1512,1487,1.0000,-0.1431,0.2068,9.8114,9.0642,-0.4802,2.0783,-0.1193,0.2654,9.7637,8.1132,0.0429,2.0353
471.4805,0.9314,1.0098,-10.2253,7.8253,7.6959,1.2425,103.5945,-18.6369,38.3249,1519,1480,1.0000,-0.1982,0.2451,9.5624,8.2093,-0.1748,1.8264,-0.1936,0.2463,9.4118,7.4414,-0.0639,1.4628
471.4990,1.0830,0.9867,-10.1942,6.4475,7.5086,-10.1548,153.8627,-21.6703,53.9167,1526,1473,1.0000,-0.1455,0.2978,9.6031,6.9116,-1.1748,1.7271,-0.1457,0.2750,9.5003,5.9834,-0.6212,1.6079
