timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,temp,angle_deg,angular_velocity,angular_acceleration,pid_output,motor_pulse
2025-11-30T16:11:34.899984,250.12977099236642,-209.12977099236642,42.725190839694655,-4.632780212402343,10.079588989257813,-15.37316885986328,22.553529411764707,-33.251297601860365,250.12977099236642,95374572.63566968,102394.14256621638,2000
2025-11-30T16:11:34.918730,250.12977099236642,-250.13740458015266,89.32824427480917,-9.057264880371093,19.61270144958496,-4.254496350097656,22.412352941176472,-77.76070942145232,250.12977099236642,0.0,2267.71832415237,2000
2025-11-30T16:11:34.938752,250.12977099236642,-250.13740458015266,-199.0229007633588,-8.482656481933594,14.43464180908203,2.2098481323242187,22.459411764705884,81.29597590706938,250.12977099236642,0.0,-2421.0909613159747,1000
2025-11-30T16:11:34.959230,250.12977099236642,-175.38931297709922,-250.13740458015266,-5.65031591796875,5.324704492187499,1.1348515869140625,22.459411764705884,77.96859593060088,250.12977099236642,0.0,-2259.6605672079286,1000
2025-11-30T16:11:34.985525,250.12977099236642,-151.16030534351145,-250.13740458015266,-6.325480786132812,3.3327287109375,-1.3431471313476562,22.60058823529412,-68.04971540081046,250.12977099236642,0.0,2018.0054966651119,2000
2025-11-30T16:11:35.004778,250.12977099236642,-126.51908396946565,-199.9083969465649,-7.783549597167968,1.9967641845703124,-2.8898014038085935,22.459411764705884,-34.64328427912904,250.12977099236642,0.0,991.5845014154299,2000
2025-11-30T16:11:35.023981,250.12977099236642,-72.06870229007633,-213.67175572519085,-9.41639512939453,1.8171990600585937,-6.794744311523437,22.506470588235295,-14.97287576678692,250.12977099236642,0.0,426.3198196339743,1926
2025-11-30T16:11:35.042786,250.12977099236642,-45.06870229007634,-192.8320610687023,-8.022969763183593,-0.33518823242187495,-1.908178723144531,22.459411764705884,9.96286179411278,250.12977099236642,0.0,-306.8837009683836,1193
2025-11-30T16:11:35.063936,243.45801526717557,-57.48091603053435,-174.5267175572519,-6.387730029296875,-0.08858546142578125,-2.1739351074218747,22.506470588235295,2.3334489426790053,243.4580152671756,-314.4976480162601,-1249.2620748094516,1000
2025-11-30T16:11:35.082603,217.35114503816794,-49.221374045801525,-162.3053435114504,-6.490680700683593,-1.1468225952148436,-0.7398083129882812,22.412352941176472,57.17418281648466,217.35114503816794,-1415.1145689270688,-1678.5238983887305,1000
2025-11-30T16:11:35.105631,191.75572519083968,-34.93893129770992,-121.78625954198473,-4.177881896972656,-1.6831237670898436,2.6575638427734374,22.506470588235295,-32.34744349944203,191.75572519083968,-1312.375881363882,974.796813572364,2000
2025-11-30T16:11:35.130560,118.91603053435115,-12.282442748091603,-86.77862595419847,-8.312668164062499,-5.410895751953125,0.8762778076171874,22.506470588235295,-80.80099131151987,118.91603053435117,-2668.5518111951546,2357.429884201111,2000
2025-11-30T16:11:35.157495,74.21374045801527,-2.717557251908397,-64.69465648854961,-6.687005236816406,-5.054159704589844,1.7477672119140624,22.553529411764707,-70.92422180737798,74.21374045801527,-1599.1589826206093,2053.9758166598513,2000
2025-11-30T16:11:35.179566,32.778625954198475,-7.450381679389313,-32.961832061068705,-6.691793640136718,-5.049371301269531,1.0103531005859374,22.553529411764707,-78.68484314562468,32.778625954198475,-1866.658072283565,2284.657388389179,2000
2025-11-30T16:11:35.214834,14.458015267175572,10.786259541984732,-14.793893129770993,-7.4962453979492185,-5.616797094726562,1.4173673828125,22.459411764705884,-75.83740277246257,14.458015267175574,-685.8401003831,2198.4319189625185,2000
2025-11-30T16:11:35.234294,-49.50381679389313,40.091603053435115,-1.8702290076335877,-6.698976245117187,-4.936843823242187,1.1923124267578125,22.506470588235295,-76.42232261133586,-49.50381679389314,-2258.47631927221,2216.412582716423,2000
2025-11-30T16:11:35.253007,-95.33587786259542,48.25954198473283,15.183206106870228,-6.5026517089843745,-4.493916516113281,2.310404602050781,22.553529411764707,-62.79147591721199,-95.33587786259542,-2448.835631448437,1815.1263644207986,2000
2025-11-30T16:11:35.271549,-146.82442748091603,43.17557251908397,17.137404580152673,-7.7763669921875,-3.806780639648437,0.51714755859375,22.553529411764707,-82.26378098795975,-146.82442748091603,-2773.5006693420733,2394.0408659677228,2000
2025-11-30T16:11:35.292267,-221.42748091603053,67.65648854961832,42.61832061068702,-6.600813977050781,-3.469198205566406,1.2042834350585936,22.459411764705884,-70.85627356670989,-221.42748091603053,-3730.912320823124,2050.2680012062806,2000
2025-11-30T16:11:35.315767,-250.13740458015266,67.2824427480916,25.129770992366414,-9.821015209960937,-4.290409374999999,-0.296881005859375,22.459411764705884,86.04164636361502,-250.13740458015263,-1433.3957988325296,-2557.8750847731862,1000
2025-11-30T16:11:35.337504,-250.13740458015266,83.55725190839695,-3.7022900763358777,-8.271966735839843,-2.310404602050781,-1.8938135131835936,22.553529411764707,50.65889965472824,-250.13740458015263,0.0,-1458.152080496817,1000
2025-11-30T16:11:35.359993,-250.13740458015266,62.80152671755725,-3.2595419847328246,-5.968744738769531,-2.1978771240234374,1.1156979736328125,22.459411764705884,-63.08649920350804,-250.13740458015263,0.0,1877.6852743986606,2000
2025-11-30T16:11:35.382816,-250.13740458015266,-184.44274809160305,-88.89312977099236,-7.702146740722656,0.9959878906249999,1.7836802368164062,22.64764705882353,29.178521926439128,-250.13740458015263,0.0,-874.1530661910832,1000
2025-11-30T16:11:35.404471,-250.13740458015266,-129.21374045801528,-26.259541984732824,-8.14028564453125,0.37828386230468747,-13.915100048828124,22.553529411764707,-1.557209921946324,-250.13740458015263,0.0,1283.5158419030747,2000
