timestamp,roll_deg,pitch_deg,yaw_deg,omega_raw,omega_filtered,alpha,tau_ff,tau_pid,tau_total,pwm_left,pwm_right,deadzone_factor,accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z
0.0101,0.2209,-0.0166,0.0233,13.6183,0.0000,0.0000,21.1820,-4.4202,0.0000,1500,1500,0.0000,0.1670,0.7192,9.8889,13.4781,0.3058,2.4895,0.1584,0.7798,9.8153,13.7585,0.2738,2.1492
0.0291,0.6283,-0.0453,0.0865,13.9198,0.7075,17.2725,18.7924,-12.5719,0.0000,1500,1500,0.0000,0.1694,0.6785,9.8506,13.7453,0.5271,4.3903,0.1249,0.6601,9.7052,14.0944,0.3806,2.2484
0.0480,1.0075,-0.0609,0.1293,14.2557,4.8095,74.2490,-97.9016,-20.1606,-11.3102,1493,1506,0.6526,0.1406,0.6163,9.8506,14.1194,0.9165,2.3674,0.1512,0.6601,9.7627,14.3921,0.5944,2.1797
0.0668,1.3732,-0.0413,0.1665,14.9008,6.8158,75.7253,-60.0721,-27.4884,-3.0760,1498,1501,1.0000,-0.0126,0.5588,9.8482,14.6384,0.7714,2.1384,0.0818,0.6912,9.7603,15.1631,0.9150,1.7828
0.0855,1.7354,-0.0427,0.1989,16.2061,8.2243,75.1878,-16.8448,-34.7499,12.6584,1506,1493,1.0000,0.0880,0.5037,9.8315,15.7606,0.9699,1.9704,0.0602,0.5499,9.8082,16.6516,0.8463,1.4545
0.1042,2.1173,-0.0326,0.2228,17.1908,9.5693,71.9371,36.4555,-42.4077,31.4114,1517,1482,1.0000,0.0640,0.5756,9.8147,16.9514,1.1760,1.4437,0.0219,0.5308,9.5568,17.4303,1.3043,1.0347
0.1224,2.5060,-0.0232,0.2398,18.0115,10.8356,69.5693,88.0098,-50.2078,49.7467,1527,1472,1.0000,0.0975,0.6474,9.7692,17.6461,1.6111,1.2223,-0.0595,0.6457,9.7363,18.3768,1.5791,0.5309
0.1406,2.9210,0.0120,0.2499,18.5382,11.9910,63.6236,152.8863,-58.5365,72.0764,1539,1460,1.0000,-0.0174,0.7958,9.7716,18.1194,1.8325,0.7490,-0.1026,0.8708,9.8369,18.9570,1.5562,0.2103
0.1587,3.3579,0.0591,0.2492,18.9466,13.0343,57.5116,220.7615,-67.3074,95.4669,1552,1447,1.0000,-0.1108,0.9347,9.7214,18.6003,1.5424,0.1307,-0.1385,0.9210,9.7100,19.2929,1.0753,-0.3623
0.1769,3.8031,0.0907,0.2435,19.5191,14.0071,53.5525,283.3986,-76.2498,117.4765,1564,1435,1.0000,-0.0796,0.9993,9.7022,19.1575,1.0386,-0.1746,-0.0260,0.7870,9.6525,19.8806,0.7852,-0.5913
0.1950,4.2434,0.0769,0.2254,20.0496,14.9134,50.0125,344.2712,-85.0994,138.9456,1576,1423,1.0000,0.1215,1.0065,9.6926,19.6461,0.5500,-0.8464,0.1488,1.0144,9.6190,20.4532,1.0066,-1.2630
0.2131,4.6576,0.0408,0.2022,18.8397,15.5024,32.5131,442.3291,-93.4286,170.5665,1593,1406,1.0000,0.2747,1.0520,9.6352,17.9056,1.0920,-1.2510,0.1512,1.2945,9.7244,19.7738,1.4494,-1.5073
0.2313,5.0875,-0.0045,0.1742,18.6107,15.9686,25.6459,511.5808,-102.0772,194.2812,1606,1393,1.0000,0.2939,1.2292,9.7621,18.5621,1.0997,-1.5716,0.1392,1.2634,9.8608,18.6593,0.5715,-1.6447
0.2495,5.4842,-0.0614,0.1424,16.5038,16.0489,4.4197,618.3712,-110.0665,228.1772,1625,1374,1.0000,0.2986,1.3202,9.7261,16.8293,0.2829,-1.7013,0.4457,1.6034,9.8872,16.1784,0.1364,-1.8203
0.2676,5.8296,-0.1686,0.1118,13.2824,15.6339,-22.8927,736.7824,-117.0325,264.8154,1645,1354,1.0000,0.5620,1.4231,9.6998,14.0430,0.2447,-1.7395,0.3906,1.7351,10.0715,12.5219,0.3730,-1.6676
0.2858,6.1976,-0.2283,0.0816,9.5382,14.7196,-50.3595,858.2471,-124.4554,302.5369,1666,1333,1.0000,0.4567,1.9283,9.7166,10.2644,1.1836,-1.8464,0.2829,1.8308,10.0069,8.8119,1.6784,-1.7058
0.3039,6.4113,-0.2000,0.0529,5.9198,13.3996,-72.8203,947.5294,-128.7932,329.7048,1681,1318,1.0000,0.1430,1.5285,9.5083,6.3407,2.7485,-1.9380,0.1680,1.6058,10.0356,5.4990,2.4875,-1.7745
0.3220,6.5480,-0.1935,0.0157,3.0458,11.8465,-85.7507,1000.5036,-131.5928,345.9374,1690,1309,1.0000,0.1526,1.4782,9.7022,4.0506,2.0462,-1.9609,-0.1074,1.5076,10.0715,2.0410,0.8310,-2.4615
0.3402,6.6250,-0.0515,-0.0208,-0.5916,9.9808,-102.6202,1057.9450,-133.1981,362.8236,1699,1300,1.0000,-0.4005,1.5332,9.7214,-0.1249,2.7943,-1.8845,-0.2008,1.5579,10.0045,-1.0583,2.3272,-2.7287
0.3583,6.6377,0.1011,-0.0586,-3.8053,7.9129,-113.9930,1092.1681,-133.5197,372.5669,1704,1295,1.0000,-0.4148,1.4902,9.4987,-3.2852,3.1302,-2.4036,-0.4306,1.2682,9.9853,-4.3255,3.0829,-2.5073
0.3764,6.5845,0.1707,-0.1117,-6.7443,5.5687,-118.3640,1098.6287,-132.5208,373.8765,1705,1294,1.0000,-0.1203,1.4518,9.6136,-5.4684,1.8706,-2.9990,-0.4090,1.1150,10.0500,-8.0201,2.5562,-3.4310
0.3946,6.4930,0.3740,-0.1665,-9.7557,0.1601,-6.0227,764.5509,-130.7552,279.4519,1653,1346,1.0000,-0.6950,1.5045,9.4963,-8.2852,2.7256,-3.0601,-0.3157,1.2084,10.2104,-11.2262,3.2585,-3.7134
