timestamp,roll_deg,pitch_deg,yaw_deg,omega_raw,omega_filtered,alpha,tau_ff,tau_pid,tau_total,pwm_left,pwm_right,deadzone_factor,accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z
415.9409,-2.8553,0.3417,-81.8252,2.5401,0.0000,0.0000,-328.5646,60.6860,-120.5131,1433,1566,0.9851,-0.2004,-0.4807,9.9780,2.5615,-2.6915,1.2284,0.0563,-0.8207,9.9905,2.5187,-0.5671,0.9909
415.9606,-2.8553,0.2891,-81.8155,3.0477,0.0000,0.0000,-328.5660,60.7148,-120.5279,1433,1566,0.9851,0.1420,-0.7680,9.9852,1.6760,-0.6075,0.7933,-0.0035,-0.5477,9.8445,4.4195,-0.2160,0.1741
415.9794,-2.7447,0.2962,-81.7919,5.2081,0.0000,0.0000,-315.8364,58.5298,-112.4357,1438,1561,0.9553,-0.1094,-0.4376,9.9206,4.9966,-0.4090,2.2895,-0.3555,-0.4065,9.7894,5.4195,-0.4450,0.1360
415.9989,-2.6732,0.3115,-81.7949,5.6699,0.0000,0.0000,-307.6066,57.1262,-106.5067,1441,1558,0.9286,-0.1884,-0.6483,9.9158,5.3935,-0.6456,-0.0159,-0.1616,-0.6076,9.7990,5.9462,-0.9259,-0.3602
416.0177,-2.5949,0.3219,-81.8054,6.6852,0.0000,0.0000,-298.5986,55.5866,-99.5420,1445,1554,0.8935,-0.1908,-0.6866,9.9876,6.6073,-0.9586,-0.4663,-0.1616,-0.7321,9.8900,6.7630,-0.9946,-0.7190
416.0363,-2.5069,0.3199,-81.8220,7.3569,0.1201,1.3694,-292.4168,53.8517,-92.2238,1449,1550,0.8476,-0.1310,-0.6722,9.8416,7.1035,-0.9357,-0.5884,-0.1592,-0.6028,9.6194,7.6103,-0.9640,-1.2763
416.0549,-2.3720,0.2934,-81.8468,8.5210,1.2905,13.1377,-310.7887,51.1779,-86.2771,1452,1547,0.7662,-0.0184,-0.5406,9.9757,8.4241,-1.0273,-1.0998,-0.1352,-0.7034,9.7152,8.6180,-0.9182,-1.6656
416.0734,-2.2450,0.2621,-81.8773,8.5668,3.0682,23.0805,-324.7994,48.6586,-78.3905,1456,1543,0.6800,-0.0017,-0.5669,10.0475,8.4699,-1.0197,-1.5121,-0.1711,-0.4807,9.8205,8.6638,-1.1702,-1.8717
416.0919,-2.1054,0.2637,-81.9128,9.2653,4.9870,33.1508,-337.7442,45.8888,-86.3663,1452,1547,0.7350,-0.1525,-0.5406,9.9685,9.0958,-1.0579,-1.8556,-0.0778,-0.5214,9.8229,9.4348,-1.0480,-2.0702
416.1103,-1.9549,0.2635,-81.9500,9.8455,6.1158,35.7051,-327.7833,42.8985,-113.2286,1437,1562,1.0000,-0.1429,-0.5070,9.8775,9.5691,-1.0884,-2.0082,-0.0490,-0.4855,9.8325,10.1218,-1.0022,-2.1007
416.1288,-1.7561,0.2792,-81.9950,10.8455,6.8253,38.3834,-312.6156,38.9392,-107.0020,1441,1558,1.0000,-0.1908,-0.3323,9.6788,10.8134,-0.7983,-2.1991,-0.1903,-0.5477,9.8708,10.8775,-0.7961,-2.7648
416.1473,-1.5943,0.2761,-82.0451,10.8645,7.4312,32.8074,-277.9421,35.7198,-95.6837,1447,1552,1.0000,-0.0903,-0.4711,9.5926,10.9432,-0.7144,-2.4815,-0.0538,-0.3825,9.5284,10.7859,-0.4831,-2.9938
416.1657,-1.4011,0.2636,-82.0987,11.6088,8.0578,34.0298,-259.2292,31.8695,-88.5190,1451,1548,1.0000,-0.0424,-0.3730,9.9637,11.3172,-0.4014,-2.7869,0.0252,-0.3203,9.7104,11.9004,-0.6434,-3.0778
416.1842,-1.1459,0.2479,-82.1504,12.1737,8.6752,33.3089,-189.8272,26.7780,-66.5406,1463,1536,1.0000,-0.0208,-0.1048,9.8296,12.0119,-0.3937,-2.6647,-0.1616,0.0508,9.6745,12.3355,-0.6892,-3.0015
416.2027,-0.8722,0.2410,-82.2038,13.3760,9.3803,38.2100,-175.3442,21.3127,-59.7527,1467,1532,1.0000,-0.0759,-0.0689,9.7985,12.9355,-0.5464,-2.8708,0.0372,-0.0378,9.5093,13.8165,-0.8495,-3.0015
416.2211,-0.5675,0.2265,-82.2561,14.4065,10.1342,40.9572,-152.7129,11.3552,-48.4372,1473,1526,1.0000,0.0151,0.0365,9.8176,14.2103,-0.0273,-2.7640,-0.0395,0.0700,9.7176,14.6027,-0.1931,-2.9862
416.2396,-0.2657,0.2078,-82.3016,14.2348,10.7493,33.2260,-105.2167,5.3159,-32.1186,1482,1517,1.0000,0.0247,0.0819,9.8464,14.1722,-0.3021,-2.4205,0.0779,0.0771,9.7559,14.2974,-0.1778,-2.5587
416.2581,0.0321,0.1768,-82.3439,14.0516,11.2447,26.8236,-61.3014,-0.6417,-16.8436,1490,1509,1.0000,0.0606,0.1346,9.7865,13.9508,-0.3937,-2.2220,0.2191,0.0580,9.7487,14.1523,-0.6358,-2.4213
416.2767,0.3326,0.1909,-82.3836,14.3111,11.7046,24.7380,-32.9678,-6.6563,-5.9028,1496,1503,1.0000,-0.1381,0.1633,9.7123,14.3477,-0.5082,-2.0540,0.1569,0.1777,9.8540,14.2745,-0.4068,-2.2915
416.2953,0.6416,0.1831,-82.4183,13.2882,11.9422,12.7331,37.1531,-12.8378,16.8217,1509,1490,1.0000,-0.0208,0.3333,9.7051,13.5081,-0.2105,-1.8174,0.0779,0.3525,9.7990,13.0684,-0.3381,-1.9633
416.3139,0.8788,0.1378,-82.4514,11.6394,11.8967,-2.4450,108.1701,-17.5858,39.0805,1521,1478,1.0000,0.1635,0.2017,9.6620,11.8058,-0.1495,-1.7792,0.1736,0.3166,9.7487,11.4729,-0.1625,-1.8106
416.3324,1.1161,0.1064,-82.4768,10.3913,11.6709,-12.1861,163.5231,-22.3329,56.9529,1531,1468,1.0000,0.1300,0.3549,9.6836,10.5386,0.1711,-1.3289,0.0946,0.2304,9.7343,10.2439,-0.0098,-1.4595
416.3509,1.3721,0.0879,-82.4818,10.5210,11.4984,-9.3441,184.8019,-27.4676,65.4783,1536,1463,1.0000,0.1132,0.4794,9.7147,9.7676,0.6139,-1.1151,0.1329,0.3357,9.7870,11.2745,0.4634,0.5863
416.3693,1.5463,0.0746,-82.4965,8.2157,11.0060,-26.6952,254.8184,-30.9671,86.8327,1547,1452,1.0000,0.0845,0.3357,9.6883,8.4470,0.4841,-0.8403,0.2766,0.3237,9.8133,7.9844,0.4711,-0.7877
416.3880,1.6991,0.1270,-82.5089,7.1165,10.4226,-31.3495,285.8029,-34.0396,97.0446,1553,1446,1.0000,-0.2052,0.3525,9.6500,7.3859,0.8047,-0.7869,0.1712,0.3333,9.7966,6.8470,0.3795,-0.5969
