文件,综合稳定性得分,angle_steadiness,angular_velocity_steadiness,consistency,smoothness,low_freq_dominance,high_freq_suppression,local_stability,stability_consistency
on_human1imu_simple_20251020_142858,0.45560308690739937,0.12851650088587827,0.0915244224842312,0.2569741441150731,0.05075008447933816,0.6420596960436284,0.921673533040832,0.2556033933886716,0.8661738555998504
off_human1imu_simple_20251020_143044,0.450180282937393,0.06781608085477767,0.04990471202385509,0.43472027631546983,0.08419086138717186,0.49666976731838025,0.9940619886446992,0.14181034332743842,0.9442384999045857
on_human2imu_simple_20251020_143156,0.4494974218703698,0.08206433960949261,0.03637747578842641,0.2175656547199337,0.027141899176832907,0.7190187040272813,0.9588139827565194,0.10788000608405247,0.9688372067381554
